"","Actinobacteria..phylum.","Bacteroidetes","Firmicutes","Fusobacteria..phylum.","Proteobacteria","SR1","Tenericutes","TM7"
"Actinobacteria..phylum.",1,-0.00834893089377535,0.582908148439864,0.264714302383422,0.144924790169834,-0.00143262407542911,0.447317301735451,0.36459478165431
"Bacteroidetes",-0.00834893089377535,1,0.507110917206023,0.6006614554059,0.541326904747938,0.336989541059396,0.18503026724501,0.0295997821624624
"Firmicutes",0.582908148439864,0.507110917206023,1,0.537613622963998,0.480532386913532,0.183000438474867,0.390879822695729,0.134784034700697
"Fusobacteria..phylum.",0.264714302383422,0.6006614554059,0.537613622963998,1,0.452182903872392,0.364138734343961,0.482080198552733,0.101589679839167
"Proteobacteria",0.144924790169834,0.541326904747938,0.480532386913532,0.452182903872392,1,0.287534483768669,0.0643961277581276,-0.0386563898581785
"SR1",-0.00143262407542911,0.336989541059396,0.183000438474867,0.364138734343961,0.287534483768669,1,0.344265098879993,0.182305435209785
"Tenericutes",0.447317301735451,0.18503026724501,0.390879822695729,0.482080198552733,0.0643961277581276,0.344265098879993,1,0.308585556361896
"TM7",0.36459478165431,0.0295997821624624,0.134784034700697,0.101589679839167,-0.0386563898581785,0.182305435209785,0.308585556361896,1
