"","Actinobacteria..phylum.","Bacteroidetes","Firmicutes","Proteobacteria","Tenericutes","Verrucomicrobia"
"Actinobacteria..phylum.",1,0.0399819487009819,0.255789204038355,-0.0757152105098588,0.33236294824248,-0.0154158327396941
"Bacteroidetes",0.0399819487009819,1,0.790021342068688,-0.0208530673267944,0.526269095095551,0.065267438378856
"Firmicutes",0.255789204038355,0.790021342068688,1,-0.0786247181834823,0.697651273832937,0.144377269822156
"Proteobacteria",-0.0757152105098588,-0.0208530673267944,-0.0786247181834823,1,0.0183983851994125,-0.119965565336058
"Tenericutes",0.33236294824248,0.526269095095551,0.697651273832937,0.0183983851994125,1,0.0732055325883385
"Verrucomicrobia",-0.0154158327396941,0.065267438378856,0.144377269822156,-0.119965565336058,0.0732055325883385,1
